descent,evals,best_f,land_opt,dist,stop,n_rep,x0,x1,x2,x3,x4
0,,0,0,4.46626e-09,taboo,4,2.88966107523,1.1718457624,0.00205027207199,-0.899206585889,-3.81142777616
1,,0.962844060387,0,0.481333,taboo,2,2.872064344,1.17926474458,0.0482439588387,-1.0244785205,-4.27347784719
2,,0.962850711975,0,0.481333,taboo,1,3.32720336969,1.16336566142,-0.0474339546367,-0.718352924346,-3.88220841381
3,,0.962861415287,0,0.481333,taboo,1,2.8949389644,1.19218906633,-0.457734314719,-1.03984294743,-3.81914052772
4,,0.963085908427,0,0.481325,taboo,1,2.90725915664,1.16442645375,-0.0441420799723,-0.773936285913,-3.34938559607
5,,1.9257656171,0,0.680707,taboo,1,2.48941848862,0.711856763041,0.0619950174231,-1.18170470176,-3.72098731522
6,,1.92590722207,0,0.680704,taboo,1,2.65612855523,1.53225076664,-0.133263015545,-0.406196656716,-3.94394200493
7,,1.92568995402,0,0.680708,taboo,1,2.83476700902,1.64773380009,0.0377829986554,-0.922835319806,-4.29313896701
8,,1.92593514338,0,0.680702,taboo,1,2.84708748274,1.61996880297,0.451370106165,-0.656931146706,-3.8233789676
9,,0,14,3.9564e-09,taboo,7,1.85820170757,0.394715349439,0.908763928033,-4.20044376581,-3.98985921907
10,,2.91073417336,16,0.84017,taboo,1,2.47258022701,1.38658967436,-0.80849521169,-0.456590503929,0.251861945543
11,,0.970291326433,16,0.485072,taboo,2,2.41464147147,0.935318657308,-1.14348434664,-0.361837277239,0.629209689027
12,,1.94054372571,16,0.685995,taboo,1,2.20228240206,1.1703993479,-1.14285560282,-0.503669830281,0.290361788683
13,,0.970291169346,16,0.485071,taboo,2,2.1679019709,1.41795566776,-1.20119950363,-0.777126382788,0.598008487888
14,,2.91070465069,16,0.84017,taboo,1,2.27132391743,1.40023618151,-0.545698734752,-0.950001567466,0.594474722111
15,,5.82104434051,16,1.18773,taboo,1,1.88185894697,0.603363908502,-1.28932244009,0.16390093673,0.512477738743
