descent,evals,best_f,land_opt,dist,stop,n_rep,x0,x1,x2,x3,x4
0,,0,0,1.25539e-08,taboo,21,0.478236965746,-2.60110621753,0.328286809675,2.32703672192,0.527544071257
1,,0,14,2.32645e-09,taboo,15,-3.45973171802,0.11760163577,3.0474424941,0.45341068188,1.61187472788
2,,0,17,5.72074e-09,taboo,15,1.37112350362,-1.11179790229,-3.91855485534,1.62054525201,1.21656670398
3,,0,10,1.7146e-09,taboo,8,-3.51305500588,-1.88145719666,-0.593834381441,0.0305000038758,-3.47489925888
4,,0,11,6.20239e-09,taboo,18,-1.11768488825,-1.15843126931,-2.8710278383,-2.51895188456,-1.34449857118
5,,0,13,6.22142e-09,taboo,3,3.55286111149,-2.01828856336,-4.08655365797,3.82884984863,-2.5823167113
6,,0,12,5.19522e-09,taboo,9,1.35251178921,-2.59324004205,3.52212484013,-2.40028586802,1.43057365117
7,,0,16,4.83663e-09,taboo,10,-3.44993961399,3.59565789153,1.00241647602,2.0397043366,-0.312932115129
8,,0,7,5.29982e-09,taboo,12,-1.78751417803,2.26681617248,-0.417153716972,-0.557775604731,-3.70403185262
9,,0,19,2.575e-09,taboo,16,2.45731197392,3.46738175583,-1.83871576988,-1.10947458063,0.769091437267
10,,0,9,2.25251e-08,taboo,3,-1.71747458808,2.22857699935,-2.87474016233,-2.21420379585,-0.11593692976
11,,0,3,1.39434e-08,taboo,5,-3.77623650666,2.47909125398,0.136002764977,-2.99265259989,-1.15368563267
12,,0,18,1.57902e-08,taboo,1,-2.7444420682,2.19759660597,-3.33368475326,-1.09322212483,-2.15682072989
13,,0,4,2.65666e-09,taboo,4,-4.13386556938,3.83575589245,-2.4022177211,1.62710154463,1.23689367524
14,,0,1,9.72696e-09,taboo,6,0.127630790197,3.49650647419,-3.03794269522,-2.83416350765,-2.50452733223
15,,0,2,5.03155e-09,taboo,5,-3.74219311799,0.735073011813,-4.35228729998,-2.22449730383,-3.23981689879
16,,0,9,8.4109e-09,final,0,-1.71747457177,2.22857698729,-2.87474017619,-2.21420378415,-0.115936926864
