descent,evals,best_f,land_opt,dist,stop,n_rep,x0,x1,x2,x3,x4
0,,0,11,9.42033e-09,taboo,5,-2.07359979411,-2.71156728866,-2.7304390706,2.9876954294,0.76838162253
1,,0,8,2.35341e-08,taboo,7,-2.20201888862,-4.09113223706,-1.86700785405,-0.395628753862,-0.99450826064
2,,0,8,2.35341e-08,taboo,7,-2.20201888862,-4.09113223706,-1.86700785405,-0.395628753862,-0.99450826064
3,,0,12,1.45443e-08,taboo,4,1.53776987839,-2.93478126207,-2.69580472061,-1.08270247711,0.203102065166
4,,0,15,2.49713e-08,taboo,13,-2.17172610923,-1.40106682166,1.02881719357,-1.62448074173,3.47142057395
5,,0,4,1.38995e-08,taboo,4,3.99588005948,-2.694274836,3.63714342784,1.0338875504,-4.11503190673
6,,0,15,1.93617e-08,taboo,11,-2.17172612602,-1.40106681191,1.02881717211,-1.62448072417,3.47142057282
7,,1.70530256582e-13,3,6.36987e-08,taboo,1,-2.17257705338,-3.9905605304,0.438857903831,2.82584561721,1.76448036845
8,,0,13,1.42678e-08,taboo,16,0.0965782637235,1.79876073863,-4.27176883868,-2.05335374003,0.840876290907
9,,0,19,1.56806e-08,taboo,5,-3.0054941558,2.98098235449,-2.52724456314,-2.2522043664,-1.92386594125
10,,0,14,1.55846e-08,taboo,6,0.560700106849,1.70863118192,-0.962268221113,3.10952586704,1.44832613871
11,,0,0,1.39965e-08,taboo,5,0.876316539589,-1.15367022503,-3.56595654344,1.93863211007,0.172336625531
12,,0,17,1.88782e-08,taboo,18,-3.58345349952,2.90503503019,0.381809132493,1.56232845755,-0.40716779982
13,,0,1,1.328e-08,taboo,2,-2.94292818149,3.7317194256,3.37637294216,-0.161878575062,3.93039293391
14,,5.68434188608e-14,6,3.85011e-08,taboo,5,3.32246299572,1.7022563659,-0.633791483192,-1.00606503485,3.52859150071
15,,5.68434188608e-14,6,4.87949e-08,taboo,3,3.32246299586,1.70225636225,-0.633791497072,-1.00606507586,3.5285915196
16,,0,12,1.89423e-08,taboo,6,1.5377698932,-2.93478127945,-2.69580471671,-1.08270247362,0.203102056937
17,,0,14,1.50682e-08,final,0,0.560700113649,1.70863118955,-0.96226819725,3.10952586679,1.44832614753
