descent,evals,best_f,land_opt,dist,stop,n_rep,x0,x1,x2,x3,x4
0,,2.73303157883e-10,4,4.52985e-11,taboo,22,1.88880561569,3.24005699187,2.43466969545,-1.26619541038,-2.7130371258
1,,1.64622420454,9,0.410335,taboo,2,-4.22521980088,3.22459593408,0.969446953473,2.93405627852,-1.13986939557
2,,2.81435052381,12,0.599868,taboo,1,-0.813109305591,-4.2806856669,3.6131724025,-2.29777628105,-1.02326375707
3,,2.81435084307,4,0.528291,taboo,1,1.53838646965,2.88399027041,2.48534774173,-1.38736921688,-2.60229660258
4,,2.31684936389,11,0.316768,taboo,1,1.26227868399,-3.59987696172,-1.35768805295,1.56173120672,2.53356206202
5,,1.73997705133e-10,19,1.93383e-11,taboo,2,-3.23055855798,-0.223061850972,4.26933218919,-0.88725636611,2.7378026331
6,,3.12240899802e-10,1,3.49063e-11,taboo,3,2.09495322165,3.64107926209,-3.43997963167,2.67576491326,3.11627862538
7,,1.64622372565,9,0.410335,taboo,1,-3.99400403114,2.93939291757,1.00410810577,3.37754119712,-1.07608904927
8,,3.05590219796e-10,11,3.71336e-11,taboo,6,1.23148228234,-3.43154574053,-1.45459710749,1.78784823169,2.43090801197
9,,2.33967512031e-10,15,3.36598e-11,taboo,2,-3.72082155384,3.47867867656,-1.68554780904,-1.20424338373,-3.51027009916
10,,3.04794411932e-10,5,4.98849e-11,taboo,3,-1.11956712425,-2.52246823579,0.474786951121,-3.01775588786,3.6067090716
11,,1.64622413841,9,0.410335,taboo,2,-4.06372494836,3.0463496244,1.0303839895,3.17699542293,-1.60480440788
12,,1.64622374207,18,0.346388,taboo,1,-1.3968343696,-3.54791790461,3.19141970203,2.25538782506,-2.13754382884
13,,1.7314505385e-10,9,4.32897e-11,taboo,14,-4.27937642126,3.09160324055,1.10522297619,3.26578333556,-1.27871052076
14,,1.64622395074,6,0.22679,taboo,1,0.126826366034,0.809276412385,4.14116486364,1.82466422614,2.77829132675
15,,4.29906776844e-10,7,9.46531e-11,taboo,2,-2.92255076631,2.75486722864,-2.55995557504,-2.5075712308,1.48432712948
16,,1.64622423508,4,0.292406,taboo,1,1.93887990258,2.98882606655,2.50980031692,-1.26835786958,-2.59375652296
17,,6.10782535659e-10,17,1.46366e-10,taboo,1,-3.35024968726,-3.22915389124,3.3173905509,-2.61956962255,2.32823126933
18,,2.8143551141,17,0.71061,taboo,1,-3.66827764957,-3.16889841639,2.8647974837,-2.82097333317,2.72166424538
19,,2.31685036574,10,0.408418,taboo,1,2.7934954884,0.562668596297,-1.04831219632,3.91504429565,-3.64999510559
20,,1.6462292886,13,0.246837,taboo,1,-3.38857166693,-2.79293194567,3.1307385209,-1.05166326797,3.9893963956
21,,5.17275111633e-10,13,7.14243e-11,taboo,1,-3.49842802586,-2.68613764086,3.21098361244,-0.918007180834,4.1040786948
22,,2.31684879815,3,0.549367,taboo,1,-0.19188942747,-4.12606503233,3.59334628258,0.485239153053,4.14849682591
23,,4.68958205602e-10,8,5.20459e-11,taboo,1,-3.54563695623,-3.82762696589,4.42082879912,-1.8716117886,4.06699093976
24,,1.64622431957,12,0.332024,taboo,1,-0.872889832608,-4.26430604107,3.15429397891,-2.38950136073,-1.15469460245
25,,2.29647412198e-10,6,2.87951e-11,taboo,5,0.209165399628,0.87808836189,4.15839768069,2.01471676994,2.83746765388
26,,1.64623171299,12,0.332023,taboo,1,-0.714710172592,-4.26274928052,3.01111190166,-2.42498589793,-0.737926801105
27,,2.31921148952e-10,16,3.6391e-11,taboo,1,0.767944104415,-3.82899658619,1.65547106408,-0.114501673653,0.415906855097
28,,1.64622570745,7,0.361374,taboo,1,-2.9730726746,2.5102520115,-2.45138301904,-2.32950102247,1.64150529784
29,,2.31466401601e-10,12,4.68273e-11,taboo,4,-0.835129907285,-4.05012238401,3.10330378244,-2.4922640329,-0.931582475614
30,,2.52214249485e-10,3,5.79315e-11,taboo,7,-0.0610619126657,-4.13333129529,3.82866534074,0.89728950844,3.90462199769
31,,2.76486389339e-10,10,4.72101e-11,taboo,13,2.92049477817,0.565913073611,-0.902768283003,4.23470508297,-3.81522186989
32,,2.8393287721e-10,18,5.99154e-11,taboo,4,-1.31459702426,-3.57420022666,2.99996384656,2.48182714156,-1.98069741737
33,,1.64622389726,4,0.292407,taboo,2,1.65279974428,3.28547324124,2.53113290801,-1.29080017902,-2.57950954138
34,,1.04478203866e-10,19,1.14928e-11,final,0,-3.230558558,-0.223061850969,4.26933218919,-0.887256366112,2.73780263311
