descent,evals,best_f,land_opt,dist,stop,n_rep,x0,x1,x2,x3,x4
0,,1.94462979617,8,0.687383,taboo,1,0.11720655694,2.23173483827,0.247030370713,1.78247201611,0.29196135966
1,,1.90951385859,5,0.674859,taboo,1,-1.53794126225,2.51046613914,-3.34322381956,-0.181792153808,-0.539241667093
2,,0.903491148125,3,0.450224,taboo,2,-0.068515760533,-2.27847942539,2.53689379445,-0.218212161132,-3.39903455811
3,,0,8,1.54328e-09,taboo,13,0.473439528948,2.49589564503,-0.117118713938,2.14264064141,0.175827236907
4,,2.91657257694,8,0.841873,taboo,1,0.353730139251,3.07665216943,-0.124232660491,2.60565107094,0.553600465174
5,,1.90965784741,5,0.674855,taboo,1,-1.76703893407,2.84380074282,-2.89873084067,-0.140824874954,-0.843521113288
6,,0.903491118752,3,0.450224,taboo,1,-0.0875793657797,-1.76751973999,2.80642023402,0.0434264096222,-3.45252944963
7,,1.94453984116,8,0.687385,taboo,1,0.968608949594,2.80554583219,-0.343358437473,1.86028817719,0.198507829522
8,,1.94439764209,8,0.687386,taboo,1,0.601405197618,2.66534989671,-0.171824072507,2.63133201759,0.606638428413
9,,0.972232532725,8,0.486055,taboo,1,0.225764720583,2.90719779991,-0.0695273164344,2.11696012572,0.122789241696
10,,1.94447843746,8,0.687385,taboo,2,0.660139494,2.12470709017,-0.278254663786,2.23349848055,0.691230946019
11,,2.91679789446,8,0.841871,taboo,1,0.614615745706,3.0419139056,0.240765465445,1.8327751734,-0.232317094007
12,,1.94439858739,8,0.687386,taboo,1,0.723355468433,2.58512417339,0.0552638972579,2.50097866749,-0.318094367536
13,,1.80698407953,3,0.636713,taboo,1,-0.176990150475,-2.23720886524,2.64508465406,-0.335419405856,-2.9943257601
14,,0.954772473901,5,0.477197,taboo,1,-2.02979187501,2.17875227094,-3.05670049239,-0.51867754992,-0.907501886649
15,,0.954710259567,5,0.477199,taboo,2,-1.51043571771,2.32356914211,-3.16584353025,-0.422272508482,-1.28635047527
16,,0.954728230052,5,0.477199,taboo,2,-1.20356778659,2.60390068407,-2.92604530691,-0.692686339944,-0.896405897332
17,,0.980951584364,1,0.490465,taboo,1,3.50599773725,3.89048426748,2.94882638419,-3.40931072312,2.37417240534
18,,1.94443151236,8,0.687386,taboo,1,0.579757630387,2.67082968731,-0.653651948123,2.14447401419,0.5536142933
