restart,evals_cum,evals_this,reason,archive_size
1,1497,1497,,1
2,2755,1258,,2
3,4366,1611,,3
4,5882,1516,,4
5,7391,1509,,5
6,9654,2263,,5
7,11212,1558,,6
8,13044,1832,,6
9,14443,1399,,7
10,15875,1432,,8
11,17925,2050,,8
12,19967,2042,,8
13,21857,1890,,8
14,23178,1321,,9
15,25373,2195,,9
16,27528,2155,,9
17,29843,2315,,9
18,31902,2059,,9
19,34009,2107,,9
20,36076,2067,,9
21,37855,1779,,9
22,39930,2075,,9
23,42045,2115,,9
24,44144,2099,,9
25,46403,2259,,9
26,48638,2235,,9
27,50505,1867,,9
28,52236,1731,,9
29,54327,2091,,9
30,56298,1971,,9
31,58317,2019,,9
32,60400,2083,,9
33,62675,2275,,9
34,64285,1610,,10
35,66089,1804,,10
36,68045,1956,,10
37,70345,2300,,10
38,72261,1916,,10
39,74249,1988,,10
40,76429,2180,,10
41,78225,1796,,10
42,80509,2284,,10
43,82681,2172,,10
44,84669,1988,,10
45,86961,2292,,10
46,89157,2196,,10
47,91297,2140,,10
48,93325,2028,,10
49,95313,1988,,10
50,97493,2180,,10
51,99209,1716,,10
52,101341,2132,,10
53,103113,1772,,10
54,105069,1956,,10
55,106817,1748,,10
56,108180,1363,,11
57,110177,1997,,11
58,112310,2133,,11
59,114283,1973,,11
60,115791,1508,,12
61,117381,1590,,12
62,119739,2358,,12
63,121601,1862,,12
64,123375,1774,,12
65,125293,1918,,12
66,127291,1998,,12
67,129441,2150,,12
68,131583,2142,,12
69,133445,1862,,12
70,135411,1966,,12
71,137569,2158,,12
72,139423,1854,,12
73,141501,2078,,12
74,143683,2182,,12
75,145833,2150,,12
76,148119,2286,,12
77,150229,2110,,12
78,152243,2014,,12
79,154089,1846,,12
80,156399,2310,,12
81,158045,1646,,12
82,160163,2118,,12
83,162033,1870,,12
84,163679,1646,,12
85,165621,1942,,12
86,167443,1822,,12
87,169353,1910,,12
88,171167,1814,,12
89,173021,1854,,12
90,175075,2054,,12
91,177425,2350,,12
92,179166,1741,,13
93,180652,1486,,14
94,182836,2184,,14
95,185044,2208,,14
96,187028,1984,,14
97,188956,1928,,14
98,190964,2008,,14
99,192900,1936,,14
100,195012,2112,,14
101,196572,1560,,14
102,198324,1752,,14
103,200332,2008,,14
104,202420,2088,,14
105,204492,2072,,14
106,206724,2232,,14
107,208532,1808,,14
108,210748,2216,,14
109,212876,2128,,14
110,214956,2080,,14
111,216940,1984,,14
112,218948,2008,,14
113,221028,2080,,14
114,222732,1704,,14
115,224580,1848,,14
116,226740,2160,,14
117,228836,2096,,14
118,230636,1800,,14
119,232404,1768,,14
120,234268,1864,,14
121,236340,2072,,14
122,238460,2120,,14
123,240140,1680,,14
124,241820,1680,,14
125,243788,1968,,14
126,245523,1735,,15
127,247668,2145,,15
128,249469,1801,,15
