restart,evals_cum,evals_this,reason,archive_size
1,1961,1961,,1
2,3883,1922,,2
3,5990,2107,,3
4,8304,2314,,4
5,10389,2085,,5
6,12460,2071,,5
7,14651,2191,,5
8,16866,2215,,5
9,19241,2375,,5
10,21605,2364,,6
11,23621,2016,,6
12,25677,2056,,6
13,28141,2464,,6
14,30573,2432,,6
15,32869,2296,,6
16,35082,2213,,7
17,37182,2100,,8
18,39311,2129,,9
19,41346,2035,,10
20,43334,1988,,11
21,45240,1906,,12
22,47271,2031,,12
23,49252,1981,,13
24,51434,2182,,14
25,53562,2128,,14
26,55793,2231,,15
27,57869,2076,,16
28,60103,2234,,16
29,62361,2258,,16
30,64539,2178,,16
31,66869,2330,,16
32,69007,2138,,16
33,71317,2310,,17
34,73496,2179,,17
35,75651,2155,,17
36,77780,2129,,18
37,80160,2380,,18
38,82443,2283,,19
39,84696,2253,,19
40,86973,2277,,19
41,89370,2397,,19
42,91448,2078,,19
43,93491,2043,,20
44,95865,2374,,20
45,97743,1878,,20
46,99734,1991,,20
47,101735,2001,,21
48,103825,2090,,22
49,105945,2120,,22
50,108097,2152,,22
51,110617,2520,,22
52,112785,2168,,22
53,114938,2153,,22
54,117194,2256,,22
55,119157,1963,,23
56,121630,2473,,23
57,124127,2497,,23
58,126400,2273,,23
59,128385,1985,,23
60,130730,2345,,23
61,132691,1961,,23
62,134892,2201,,23
63,136840,1948,,24
64,139058,2218,,24
65,141233,2175,,25
66,143382,2149,,26
67,145530,2148,,26
68,147911,2381,,26
69,150307,2396,,26
70,152711,2404,,26
71,155179,2468,,26
72,157663,2484,,26
73,159891,2228,,26
74,162120,2229,,27
75,164171,2051,,28
76,166377,2206,,28
77,168676,2299,,29
78,170859,2183,,29
79,173018,2159,,29
80,175070,2052,,30
81,177438,2368,,30
82,179702,2264,,30
83,181737,2035,,31
84,184290,2553,,31
85,186579,2289,,31
86,188876,2297,,31
87,191157,2281,,31
88,193180,2023,,32
89,195450,2270,,33
90,197686,2236,,34
91,200178,2492,,34
92,202428,2250,,35
93,204610,2182,,35
94,206844,2234,,36
95,208987,2143,,37
96,211146,2159,,37
97,213393,2247,,37
98,215385,1992,,37
99,217728,2343,,37
100,219679,1951,,37
101,222142,2463,,37
102,224667,2525,,38
103,226675,2008,,38
104,228883,2208,,38
105,231155,2272,,38
106,233603,2448,,38
107,235851,2248,,39
108,238156,2305,,39
109,240405,2249,,39
110,242718,2313,,39
111,244935,2217,,39
112,247464,2529,,39
113,249618,2154,,40
