restart,evals_cum,evals_this,reason,archive_size
1,2017,2017,,1
2,3923,1906,,2
3,6438,2515,,3
4,8234,1796,,4
5,10840,2606,,4
6,12933,2093,,5
7,14571,1638,,6
8,16202,1631,,7
9,17814,1612,,8
10,19431,1617,,9
11,21890,2459,,9
12,23496,1606,,10
13,25283,1787,,11
14,27856,2573,,11
15,30325,2469,,11
16,32273,1948,,12
17,34439,2166,,12
18,36252,1813,,13
19,38715,2463,,13
20,40978,2263,,13
21,43416,2438,,14
22,45768,2352,,14
23,47647,1879,,15
24,49532,1885,,16
25,51598,2066,,16
26,53799,2201,,17
27,56226,2427,,17
28,58725,2499,,17
29,60936,2211,,17
30,63171,2235,,17
31,65638,2467,,17
32,68561,2923,,17
33,71092,2531,,17
34,73655,2563,,17
35,75457,1802,,18
36,77328,1871,,19
37,79741,2413,,19
38,81438,1697,,20
39,83972,2534,,20
40,86306,2334,,20
41,88583,2277,,21
42,91126,2543,,21
43,93637,2511,,21
44,96212,2575,,21
45,98835,2623,,21
46,100758,1923,,22
47,103182,2424,,22
48,104649,1467,,23
49,107074,2425,,23
50,109435,2361,,23
51,111892,2457,,23
52,114477,2585,,23
53,116042,1565,,24
54,118067,2025,,25
55,120390,2323,,25
56,122272,1882,,26
57,124740,2468,,26
58,126612,1872,,27
59,129049,2437,,27
60,131406,2357,,27
61,133619,2213,,27
62,135936,2317,,27
63,138197,2261,,27
64,140041,1844,,28
65,142327,2286,,28
66,144741,2414,,28
67,146931,2190,,28
68,148774,1843,,28
69,150569,1795,,28
70,153183,2614,,28
71,155733,2550,,28
72,158091,2358,,28
73,160617,2526,,28
74,163247,2630,,28
75,165613,2366,,28
76,167947,2334,,28
77,170513,2566,,28
78,173047,2534,,28
79,174498,1451,,29
80,177201,2703,,29
81,178997,1796,,29
82,181372,2375,,29
83,183387,2015,,29
84,185129,1742,,30
85,187553,2424,,30
86,190033,2480,,30
87,191953,1920,,30
88,194145,2192,,30
89,196833,2688,,30
90,199201,2368,,30
91,201777,2576,,30
92,204457,2680,,30
93,206977,2520,,30
94,208929,1952,,30
95,210581,1652,,31
96,213406,2825,,31
97,215718,2312,,32
98,217452,1734,,33
99,219471,2019,,33
100,222210,2739,,33
101,224669,2459,,33
102,226412,1743,,34
103,228904,2492,,34
104,231164,2260,,34
105,233688,2524,,34
106,236132,2444,,34
107,238640,2508,,34
108,240532,1892,,34
109,243160,2628,,34
110,245252,2092,,34
111,247832,2580,,34
