restart,evals_cum,evals_this,reason,archive_size
1,1489,1489,,1
2,2899,1410,,2
3,4342,1443,,3
4,5642,1300,,4
5,7257,1615,,5
6,8575,1318,,6
7,9886,1311,,7
8,11576,1690,,8
9,12977,1401,,9
10,14622,1645,,10
11,16233,1611,,11
12,17850,1617,,12
13,19279,1429,,13
14,20685,1406,,14
15,22348,1663,,15
16,24093,1745,,15
17,25638,1545,,16
18,27360,1722,,16
19,29017,1657,,17
20,30683,1666,,18
21,32447,1764,,18
22,33906,1459,,19
23,35454,1548,,20
24,37091,1637,,21
25,38962,1871,,21
26,40473,1511,,22
27,42080,1607,,23
28,43475,1395,,24
29,45095,1620,,25
30,46744,1649,,26
31,48223,1479,,27
32,49822,1599,,28
33,51364,1542,,28
34,52865,1501,,29
35,54587,1722,,30
36,56344,1757,,31
37,58049,1705,,31
38,59683,1634,,32
39,61160,1477,,33
40,62787,1627,,34
41,64695,1908,,34
42,66359,1664,,35
43,67975,1616,,36
44,69901,1926,,36
45,71458,1557,,37
46,73236,1778,,38
47,75013,1777,,39
48,76902,1889,,39
49,78919,2017,,39
50,80840,1921,,39
51,82346,1506,,40
52,83910,1564,,41
53,85729,1819,,42
54,87448,1719,,43
55,89321,1873,,43
56,91160,1839,,43
57,92669,1509,,43
58,94425,1756,,44
59,96007,1582,,45
60,97918,1911,,45
61,99925,2007,,45
62,101716,1791,,45
63,103427,1711,,45
64,104951,1524,,46
65,106452,1501,,47
66,107960,1508,,48
67,109530,1570,,49
68,111301,1771,,49
69,112964,1663,,49
70,114511,1547,,49
71,116036,1525,,50
72,117520,1484,,50
73,119252,1732,,50
74,120776,1524,,51
75,122765,1989,,51
76,124484,1719,,52
77,126062,1578,,53
78,127783,1721,,54
79,129711,1928,,55
80,131448,1737,,55
81,133109,1661,,56
82,134688,1579,,57
83,136715,2027,,57
84,138520,1805,,58
85,140301,1781,,59
86,142258,1957,,59
87,143959,1701,,59
88,145588,1629,,59
89,147256,1668,,60
90,149089,1833,,61
91,150737,1648,,62
92,152584,1847,,63
93,154481,1897,,63
94,156081,1600,,64
95,157880,1799,,65
96,159502,1622,,66
97,161004,1502,,67
98,162555,1551,,68
99,164473,1918,,68
100,166215,1742,,68
101,168149,1934,,68
102,170067,1918,,68
103,171716,1649,,69
104,173651,1935,,69
105,175188,1537,,70
106,176908,1720,,70
107,178636,1728,,70
108,180101,1465,,71
109,181571,1470,,72
110,183198,1627,,72
111,184881,1683,,73
112,186469,1588,,74
113,188110,1641,,75
114,189746,1636,,76
115,191680,1934,,76
116,193191,1511,,77
117,195062,1871,,77
118,196598,1536,,78
119,198478,1880,,78
120,200262,1784,,78
121,201994,1732,,79
122,203701,1707,,79
123,205488,1787,,79
124,207249,1761,,79
125,208946,1697,,79
126,210739,1793,,79
127,212444,1705,,79
128,214261,1817,,79
129,216062,1801,,80
130,217609,1547,,81
131,219500,1891,,81
132,221391,1891,,81
133,222953,1562,,82
134,224781,1828,,82
135,226624,1843,,83
136,228397,1773,,84
137,229980,1583,,85
138,231651,1671,,86
139,233221,1570,,87
140,234876,1655,,88
141,236655,1779,,88
142,238195,1540,,89
143,239749,1554,,90
144,241498,1749,,91
145,243191,1693,,92
146,244869,1678,,93
147,246478,1609,,94
148,248376,1898,,94
149,249959,1583,,95
