restart,evals_cum,evals_this,reason,archive_size
1,1745,1745,,1
2,3283,1538,,2
3,4998,1715,,3
4,6490,1492,,4
5,8215,1725,,5
6,9701,1486,,6
7,11156,1455,,7
8,12700,1544,,8
9,14181,1481,,9
10,16200,2019,,9
11,17594,1394,,10
12,19374,1780,,10
13,20745,1371,,11
14,22061,1316,,12
15,23850,1789,,13
16,25753,1903,,13
17,27592,1839,,13
18,29719,2127,,13
19,31253,1534,,14
20,32916,1663,,15
21,34925,2009,,15
22,36758,1833,,15
23,38543,1785,,15
24,40648,2105,,15
25,42705,2057,,15
26,44073,1368,,16
27,46259,2186,,16
28,48405,2146,,16
29,50383,1978,,16
30,52313,1930,,16
31,54363,2050,,16
32,56493,2130,,16
33,58711,2218,,16
34,60497,1786,,16
35,62355,1858,,16
36,64148,1793,,17
37,66095,1947,,17
38,67946,1851,,17
39,69797,1851,,17
40,71704,1907,,17
41,73795,2091,,17
42,75686,1891,,17
43,77569,1883,,17
44,79532,1963,,17
45,81735,2203,,17
46,83434,1699,,17
47,85309,1875,,17
48,87064,1755,,17
49,88899,1835,,17
50,90734,1835,,17
51,92633,1899,,17
52,94612,1979,,17
53,96511,1899,,17
54,98826,2315,,17
55,100597,1771,,17
56,102544,1947,,17
57,104427,1883,,17
58,106366,1939,,17
59,108281,1915,,17
60,110212,1931,,17
61,112495,2283,,17
62,114458,1963,,17
63,116413,1955,,17
64,118320,1907,,17
65,120219,1899,,17
66,122454,2235,,17
67,124345,1891,,17
68,126180,1835,,17
69,127966,1786,,18
70,129738,1772,,18
71,131518,1780,,18
72,133250,1732,,18
73,135158,1908,,18
74,137114,1956,,18
75,139262,2148,,18
76,141090,1828,,18
77,143110,2020,,18
78,145402,2292,,18
79,147366,1964,,18
80,149554,2188,,18
81,151318,1764,,18
82,153258,1940,,18
83,154958,1700,,18
84,157114,2156,,18
85,159318,2204,,18
86,161130,1812,,18
87,163134,2004,,18
88,165186,2052,,18
89,167054,1868,,18
90,169010,1956,,18
91,170782,1772,,18
92,172658,1876,,18
93,174870,2212,,18
94,176866,1996,,18
95,178982,2116,,18
96,180578,1596,,18
97,182718,2140,,18
98,184554,1836,,18
99,186478,1924,,18
100,188290,1812,,18
101,190582,2292,,18
102,192466,1884,,18
103,194414,1948,,18
104,196498,2084,,18
105,198622,2124,,18
106,200586,1964,,18
107,202302,1716,,18
108,204474,2172,,18
109,206318,1844,,18
110,208298,1980,,18
111,210278,1980,,18
112,212346,2068,,18
113,214222,1876,,18
114,216130,1908,,18
115,218070,1940,,18
116,220138,2068,,18
117,221838,1700,,18
118,223930,2092,,18
119,225694,1764,,18
120,227906,2212,,18
121,229710,1804,,18
122,231626,1916,,18
123,233190,1564,,18
124,234962,1772,,18
125,236614,1652,,18
126,238858,2244,,18
127,240734,1876,,18
128,242570,1836,,18
129,244662,2092,,18
130,246554,1892,,18
131,248414,1860,,18
