restart,evals_cum,evals_this,reason,archive_size
1,1809,1809,,1
2,3611,1802,,2
3,5414,1803,,3
4,7226,1812,,4
5,9071,1845,,5
6,10789,1718,,6
7,12645,1856,,6
8,14677,2032,,6
9,16677,2000,,6
10,18653,1976,,6
11,20725,2072,,6
12,22613,1888,,6
13,24396,1783,,7
14,26349,1953,,7
15,28462,2113,,7
16,30495,2033,,7
17,32528,2033,,7
18,34473,1945,,7
19,36602,2129,,7
20,38667,2065,,7
21,40395,1728,,8
22,42501,2106,,8
23,44294,1793,,9
24,46233,1939,,9
25,48356,2123,,9
26,50583,2227,,9
27,52650,2067,,9
28,54709,2059,,9
29,56816,2107,,9
30,58835,2019,,9
31,60798,1963,,9
32,62865,2067,,9
33,64844,1979,,9
34,66775,1931,,9
35,68794,2019,,9
36,70717,1923,,9
37,72832,2115,,9
38,74827,1995,,9
39,76950,2123,,9
40,79225,2275,,9
41,81212,1987,,9
42,83335,2123,,9
43,85250,1915,,9
44,87141,1891,,9
45,89232,2091,,9
46,91083,1851,,9
47,93022,1939,,9
48,95137,2115,,9
49,97308,2171,,9
50,99207,1899,,9
51,100994,1787,,9
52,102933,1939,,9
53,105144,2211,,9
54,106922,1778,,10
55,108861,1939,,11
56,110818,1957,,11
57,112903,2085,,11
58,114980,2077,,11
59,117137,2157,,11
60,119030,1893,,11
61,121059,2029,,11
62,123136,2077,,11
63,125253,2117,,11
64,135130,9877,,12
65,137064,1934,,12
66,139126,2062,,12
67,141076,1950,,12
68,143106,2030,,12
69,145088,1982,,12
70,147142,2054,,12
71,149083,1941,,13
72,151106,2023,,13
73,153169,2063,,13
74,155256,2087,,13
75,157399,2143,,13
76,159286,1887,,13
77,161165,1879,,13
78,163076,1911,,13
79,165019,1943,,13
80,166970,1951,,13
81,168953,1983,,13
82,170904,1951,,13
83,172943,2039,,13
84,174854,1911,,13
85,176789,1935,,13
86,178691,1902,,14
87,180691,2000,,14
88,182707,2016,,14
89,184611,1904,,14
90,186435,1824,,14
91,188291,1856,,14
92,190283,1992,,14
93,192019,1736,,14
94,194107,2088,,14
95,196187,2080,,14
96,198291,2104,,14
97,200563,2272,,14
98,202219,1656,,14
99,204034,1815,,15
100,205962,1928,,16
101,207716,1754,,16
102,209750,2034,,16
103,211784,2034,,16
104,213746,1962,,16
105,215700,1954,,16
106,217774,2074,,16
107,219720,1946,,16
108,221554,1834,,16
109,223580,2026,,16
110,225470,1890,,16
111,227456,1986,,16
112,229762,2306,,16
113,231804,2042,,16
114,233638,1834,,16
115,235672,2034,,16
116,237586,1914,,16
117,239588,2002,,16
118,241670,2082,,16
119,243864,2194,,16
120,245866,2002,,16
121,248004,2138,,16
