restart,evals_cum,evals_this,reason,archive_size
1,1433,1433,,1
2,2643,1210,,2
3,4207,1564,,3
4,5772,1565,,4
5,7169,1397,,5
6,8807,1638,,6
7,10185,1378,,7
8,11773,1588,,7
9,13191,1418,,8
10,14753,1562,,8
11,16172,1419,,9
12,17846,1674,,10
13,19418,1572,,10
14,20950,1532,,10
15,22450,1500,,10
16,23760,1310,,11
17,25445,1685,,11
18,26845,1400,,12
19,28307,1462,,12
20,30041,1734,,12
21,31727,1686,,12
22,33573,1846,,13
23,35068,1495,,14
24,36500,1432,,14
25,37916,1416,,14
26,39628,1712,,14
27,41028,1400,,14
28,42508,1480,,14
29,44028,1520,,14
30,45399,1371,,15
31,46960,1561,,15
32,48625,1665,,15
33,50106,1481,,15
34,51510,1404,,16
35,52891,1381,,17
36,54510,1619,,17
37,56152,1642,,18
38,57764,1612,,18
39,59392,1628,,19
40,60925,1533,,19
41,62325,1400,,20
42,63819,1494,,20
43,65249,1430,,20
44,66795,1546,,21
45,68231,1436,,21
46,69854,1623,,21
47,71344,1490,,22
48,72828,1484,,23
49,74637,1809,,23
50,76119,1482,,23
51,77640,1521,,23
52,79355,1715,,24
53,81013,1658,,24
54,82742,1729,,25
55,84241,1499,,25
56,85719,1478,,26
57,87235,1516,,27
58,88725,1490,,28
59,90396,1671,,28
60,91894,1498,,29
61,93445,1551,,30
62,94954,1509,,31
63,96396,1442,,31
64,98149,1753,,31
65,99670,1521,,31
66,101176,1506,,31
67,102501,1325,,31
68,103848,1347,,32
69,105538,1690,,32
70,107196,1658,,32
71,108630,1434,,32
72,110280,1650,,32
73,111911,1631,,33
74,113261,1350,,34
75,114794,1533,,35
76,116503,1709,,35
77,117940,1437,,35
78,119542,1602,,36
79,121101,1559,,37
80,122732,1631,,37
81,124323,1591,,37
82,125831,1508,,38
83,127431,1600,,38
84,128887,1456,,38
85,130471,1584,,38
86,131941,1470,,39
87,133454,1513,,39
88,135239,1785,,39
89,136928,1689,,39
90,138482,1554,,39
91,140251,1769,,39
92,141836,1585,,39
93,143298,1462,,40
94,144868,1570,,40
95,146306,1438,,40
96,147902,1596,,41
97,149507,1605,,42
98,150999,1492,,42
99,152555,1556,,42
100,154135,1580,,42
101,155660,1525,,42
102,157219,1559,,42
103,158670,1451,,43
104,160234,1564,,44
105,161747,1513,,45
106,163562,1815,,45
107,165111,1549,,46
108,166823,1712,,46
109,168508,1685,,47
110,170029,1521,,47
111,171654,1625,,47
112,173146,1492,,47
113,174658,1512,,47
114,176235,1577,,47
115,177802,1567,,47
116,179211,1409,,47
117,180860,1649,,47
118,182413,1553,,47
119,184202,1789,,48
120,185844,1642,,48
121,187454,1610,,48
122,188989,1535,,49
123,190474,1485,,50
124,191889,1415,,50
125,193502,1613,,50
126,195162,1660,,50
127,196606,1444,,50
128,198170,1564,,50
129,199630,1460,,51
130,201379,1749,,51
131,203296,1917,,51
132,204931,1635,,52
133,206316,1385,,53
134,207923,1607,,53
135,209578,1655,,53
136,211289,1711,,53
137,212792,1503,,53
138,214377,1585,,53
139,215995,1618,,53
140,217691,1696,,53
141,219402,1711,,53
142,221111,1709,,54
143,222515,1404,,54
144,224042,1527,,55
145,225677,1635,,56
146,227095,1418,,56
147,228673,1578,,56
148,230254,1581,,56
149,231992,1738,,56
150,233518,1526,,56
151,235136,1618,,56
152,236598,1462,,56
153,238158,1560,,57
154,239865,1707,,57
155,241436,1571,,57
156,243023,1587,,57
157,244467,1444,,58
158,246216,1749,,58
159,247852,1636,,58
160,249432,1580,,58
