restart,evals_cum,evals_this,reason,archive_size
1,1825,1825,,1
2,3491,1666,,2
3,5470,1979,,3
4,7723,2253,,3
5,9944,2221,,3
6,12333,2389,,3
7,14450,2117,,3
8,16639,2189,,3
9,18964,2325,,3
10,21201,2237,,3
11,22845,1644,,4
12,25051,2206,,4
13,27337,2286,,4
14,29646,2309,,5
15,31797,2151,,5
16,34027,2230,,6
17,36475,2448,,6
18,38963,2488,,6
19,42186,3223,,7
20,43979,1793,,7
21,45732,1753,,7
22,47637,1905,,7
23,49630,1993,,7
24,51319,1689,,7
25,53232,1913,,7
26,55329,2097,,7
27,57434,2105,,7
28,59835,2401,,7
29,61956,2121,,7
30,64053,2097,,7
31,65990,1937,,7
32,68199,2209,,7
33,70272,2073,,7
34,72633,2361,,7
35,74906,2273,,7
36,77722,2816,,8
37,79724,2002,,8
38,81822,2098,,8
39,85111,3289,,9
40,87914,2803,,9
41,89741,1827,,9
42,91592,1851,,9
43,93755,2163,,9
44,96126,2371,,9
45,98305,2179,,9
46,100228,1923,,9
47,102031,1803,,9
48,105025,2994,,10
49,106948,1923,,11
50,109433,2485,,11
51,111742,2309,,11
52,113827,2085,,11
53,115912,2085,,11
54,118437,2525,,11
55,120394,1957,,11
56,122719,2325,,11
57,124548,1829,,11
58,126865,2317,,11
59,128902,2037,,11
60,130787,1885,,11
61,133152,2365,,11
62,135181,2029,,11
63,137330,2149,,11
64,139479,2149,,11
65,141612,2133,,11
66,144009,2397,,11
67,146134,2125,,11
68,148331,2197,,11
69,150616,2285,,11
70,152837,2221,,11
71,154674,1837,,11
72,156975,2301,,11
73,159148,2173,,11
74,161481,2333,,11
75,163886,2405,,11
76,165763,1877,,11
77,167840,2077,,11
78,170157,2317,,11
79,172338,2181,,11
80,174166,1828,,12
81,176236,2070,,12
82,178306,2070,,12
83,181368,3062,,12
84,183478,2110,,12
85,185284,1806,,12
86,188314,3030,,12
87,190192,1878,,12
88,192422,2230,,12
89,194692,2270,,12
90,197586,2894,,12
91,199992,2406,,12
92,202198,2206,,12
93,204308,2110,,12
94,206498,2190,,12
95,208704,2206,,12
96,210838,2134,,12
97,212876,2038,,12
98,214770,1894,,12
99,217096,2326,,12
100,218966,1870,,12
101,220700,1734,,12
102,222730,2030,,12
103,224816,2086,,12
104,227222,2406,,12
105,229556,2334,,12
106,231610,2054,,12
107,233808,2198,,12
108,235830,2022,,12
109,238092,2262,,12
110,239778,1686,,12
111,241824,2046,,12
112,243974,2150,,12
113,245996,2022,,12
114,248122,2126,,12
