restart,evals_cum,evals_this,reason,archive_size
1,1777,1777,,1
2,4323,2546,,2
3,6198,1875,,3
4,10130,3932,,4
5,11991,1861,,5
6,14254,2263,,5
7,17136,2882,,5
8,19015,1879,,5
9,21301,2286,,6
10,23541,2240,,6
11,26671,3130,,6
12,28615,1944,,6
13,30703,2088,,6
14,33542,2839,,7
15,35591,2049,,7
16,38911,3320,,7
17,40944,2033,,7
18,44608,3664,,8
19,46618,2010,,8
20,49404,2786,,8
21,51237,1833,,9
22,52856,1619,,9
23,54490,1634,,10
24,57695,3205,,11
25,59740,2045,,11
26,61545,1805,,11
27,63594,2049,,12
28,66705,3111,,12
29,69366,2661,,13
30,71493,2127,,13
31,73212,1719,,13
32,76139,2927,,13
33,78290,2151,,13
34,81065,2775,,13
35,84108,3043,,14
36,86036,1928,,14
37,88476,2440,,14
38,90508,2032,,14
39,93878,3370,,14
40,96118,2240,,14
41,99559,3441,,14
42,101191,1632,,14
43,103031,1840,,14
44,105192,2161,,14
45,107408,2216,,14
46,108984,1576,,14
47,112537,3553,,14
48,114697,2160,,14
49,116144,1447,,15
50,118250,2106,,15
51,119795,1545,,15
52,121700,1905,,15
53,124110,2410,,15
54,126399,2289,,15
55,128544,2145,,15
56,130889,2345,,15
57,135174,4285,,15
58,138204,3030,,15
59,140533,2329,,15
60,142037,1504,,16
61,144897,2860,,16
62,147027,2130,,16
63,149069,2042,,16
64,150687,1618,,16
65,152513,1826,,16
66,154555,2042,,16
67,157582,3027,,16
68,160660,3078,,16
69,162270,1610,,16
70,165545,3275,,16
71,167891,2346,,16
72,169845,1954,,16
73,172727,2882,,16
74,175153,2426,,16
75,176882,1729,,17
76,178149,1267,,17
77,180545,2396,,17
78,183317,2772,,17
79,185376,2059,,17
80,188700,3324,,17
81,190944,2244,,17
82,194068,3124,,17
83,195671,1603,,17
84,198738,3067,,17
85,201485,2747,,17
86,205337,3852,,17
87,208892,3555,,17
88,211952,3060,,17
89,214171,2219,,17
90,216430,2259,,17
91,219570,3140,,17
92,221325,1755,,17
93,223344,2019,,17
94,225627,2283,,17
95,228881,3254,,17
96,231885,3004,,17
97,234264,2379,,17
98,235795,1531,,17
99,239272,3477,,17
100,241371,2099,,17
101,243446,2075,,17
102,245281,1835,,17
103,247571,2290,,17
