restart,evals_cum,evals_this,reason,archive_size
1,1489,1489,,1
2,2795,1306,,2
3,4142,1347,,3
4,5636,1494,,4
5,7314,1678,,4
6,8888,1574,,5
7,10278,1390,,6
8,11949,1671,,7
9,13565,1616,,8
10,14918,1353,,9
11,16428,1510,,10
12,17912,1484,,10
13,19313,1401,,11
14,20886,1573,,11
15,22531,1645,,11
16,23953,1422,,12
17,25534,1581,,13
18,27229,1695,,13
19,28763,1534,,14
20,30194,1431,,15
21,31932,1738,,16
22,33557,1625,,17
23,34832,1275,,17
24,36380,1548,,18
25,37903,1523,,19
26,39580,1677,,19
27,41161,1581,,20
28,42951,1790,,20
29,44445,1494,,20
30,46016,1571,,21
31,47631,1615,,21
32,49269,1638,,22
33,50988,1719,,23
34,52588,1600,,24
35,54078,1490,,24
36,55752,1674,,24
37,57657,1905,,25
38,59300,1643,,25
39,60935,1635,,25
40,62257,1322,,26
41,63827,1570,,27
42,65408,1581,,27
43,66829,1421,,27
44,68551,1722,,28
45,70005,1454,,28
46,71563,1558,,28
47,73056,1493,,29
48,74783,1727,,29
49,76237,1454,,30
50,77836,1599,,30
51,79620,1784,,31
52,81254,1634,,32
53,82868,1614,,33
54,84238,1370,,34
55,85649,1411,,35
56,87285,1636,,36
57,88827,1542,,36
58,90336,1509,,37
59,91935,1599,,37
60,93661,1726,,38
61,95309,1648,,39
62,97007,1698,,40
63,98545,1538,,40
64,99997,1452,,40
65,101472,1475,,41
66,103195,1723,,42
67,104535,1340,,42
68,106114,1579,,43
69,107622,1508,,44
70,109381,1759,,45
71,111243,1862,,46
72,112827,1584,,46
73,114349,1522,,47
74,115950,1601,,47
75,117523,1573,,48
76,118981,1458,,48
77,120353,1372,,49
78,122077,1724,,50
79,123697,1620,,50
80,125196,1499,,51
81,126734,1538,,52
82,128236,1502,,52
83,129754,1518,,52
84,131439,1685,,53
85,132814,1375,,53
86,134333,1519,,54
87,135892,1559,,55
88,137805,1913,,56
89,139407,1602,,56
90,140979,1572,,57
91,142566,1587,,57
92,144227,1661,,58
93,145780,1553,,59
94,147433,1653,,59
95,148912,1479,,60
96,150638,1726,,60
97,152116,1478,,60
98,153698,1582,,60
99,155240,1542,,60
100,156821,1581,,61
101,158346,1525,,62
102,160010,1664,,62
103,161690,1680,,62
104,163233,1543,,63
105,164805,1572,,64
106,166494,1689,,65
107,167969,1475,,65
108,169820,1851,,65
109,171215,1395,,65
110,172746,1531,,65
111,174410,1664,,66
112,176030,1620,,66
113,177659,1629,,66
114,179209,1550,,66
115,180613,1404,,66
116,182153,1540,,66
117,183749,1596,,66
118,185360,1611,,67
119,187094,1734,,68
120,188740,1646,,69
121,190285,1545,,69
122,191980,1695,,69
123,193451,1471,,69
124,194978,1527,,69
125,196619,1641,,70
126,198459,1840,,71
127,200044,1585,,71
128,201741,1697,,71
129,203356,1615,,72
130,204985,1629,,73
131,206789,1804,,74
132,208265,1476,,74
133,209765,1500,,74
134,211137,1372,,74
135,212717,1580,,74
136,214487,1770,,75
137,216076,1589,,75
138,217473,1397,,75
139,219360,1887,,75
140,220942,1582,,76
141,222532,1590,,76
142,224138,1606,,76
143,225666,1528,,77
144,227202,1536,,78
145,228701,1499,,79
146,230399,1698,,80
147,232017,1618,,80
148,233483,1466,,80
149,235054,1571,,81
150,236763,1709,,82
151,239024,2261,,83
152,240685,1661,,83
153,242170,1485,,83
154,243666,1496,,83
155,245359,1693,,83
156,246963,1604,,84
157,248571,1608,,84
