restart,evals_cum,evals_this,reason,archive_size
1,1497,1497,,1
2,2803,1306,,2
3,4599,1796,,2
4,6483,1884,,2
5,8439,1956,,2
6,9978,1539,,3
7,11903,1925,,3
8,13411,1508,,4
9,15137,1726,,4
10,16679,1542,,4
11,18309,1630,,4
12,19987,1678,,4
13,21577,1590,,4
14,23078,1501,,5
15,24741,1663,,5
16,26396,1655,,5
17,28235,1839,,5
18,29777,1542,,6
19,31529,1752,,6
20,33313,1784,,6
21,35129,1816,,6
22,36921,1792,,6
23,38729,1808,,6
24,40201,1472,,6
25,42041,1840,,6
26,43529,1488,,6
27,45113,1584,,6
28,46649,1536,,6
29,48121,1472,,6
30,49921,1800,,6
31,51673,1752,,6
32,53377,1704,,6
33,54897,1520,,6
34,56545,1648,,6
35,58329,1784,,6
36,60073,1744,,6
37,61488,1415,,7
38,63273,1785,,7
39,64778,1505,,7
40,66386,1608,,8
41,67956,1570,,8
42,69477,1521,,9
43,71000,1523,,9
44,72859,1859,,9
45,74446,1587,,9
46,76089,1643,,9
47,77548,1459,,9
48,78975,1427,,9
49,80818,1843,,9
50,82581,1763,,9
51,84120,1539,,9
52,85795,1675,,9
53,87526,1731,,9
54,89097,1571,,9
55,90668,1571,,9
56,92271,1603,,9
57,94042,1771,,9
58,95413,1371,,9
59,97088,1675,,9
60,98715,1627,,9
61,100013,1298,,10
62,101465,1452,,10
63,103237,1772,,10
64,104697,1460,,10
65,106077,1380,,10
66,107529,1452,,10
67,109245,1716,,10
68,110697,1452,,10
69,112301,1604,,10
70,114081,1780,,10
71,115877,1796,,10
72,117569,1692,,10
73,119061,1492,,10
74,120921,1860,,10
75,122573,1652,,10
76,124145,1572,,10
77,125685,1540,,10
78,127433,1748,,10
79,128997,1564,,10
80,130729,1732,,10
81,132397,1668,,10
82,134273,1876,,10
83,135901,1628,,10
84,137609,1708,,10
85,139237,1628,,10
86,140945,1708,,10
87,142565,1620,,10
88,144033,1468,,10
89,146045,2012,,10
90,147801,1756,,10
91,149421,1620,,10
92,151185,1764,,10
93,153005,1820,,10
94,154705,1700,,10
95,156061,1356,,10
96,157849,1788,,10
97,159597,1748,,10
98,161321,1724,,10
99,162997,1676,,10
100,164753,1756,,10
101,166469,1716,,10
102,167889,1420,,10
103,169541,1652,,10
104,171329,1788,,10
105,173045,1716,,10
106,174561,1516,,10
107,176093,1532,,10
108,177529,1436,,10
109,179389,1860,,10
110,180984,1595,,11
111,182581,1597,,11
112,184274,1693,,11
113,185983,1709,,11
114,187500,1517,,11
115,188961,1461,,11
116,190694,1733,,11
117,192699,2005,,11
118,194256,1557,,11
119,195797,1541,,11
120,197474,1677,,11
121,199231,1757,,11
122,200724,1493,,11
123,202449,1725,,11
124,204030,1581,,11
125,205763,1733,,11
126,207480,1717,,11
127,209197,1717,,11
128,210578,1381,,11
129,212335,1757,,11
130,213852,1517,,11
131,215329,1477,,11
132,217046,1717,,11
133,218851,1805,,11
134,220640,1789,,11
135,222221,1581,,11
136,223658,1437,,11
137,225431,1773,,11
138,227340,1909,,11
139,229113,1773,,11
140,230510,1397,,11
141,231907,1397,,11
142,233688,1781,,11
143,235165,1477,,11
144,236834,1669,,11
145,238407,1573,,11
146,240188,1781,,11
147,241937,1749,,11
148,243630,1693,,11
149,245395,1765,,11
150,246952,1557,,11
151,248733,1781,,11
