restart,evals_cum,evals_this,reason,archive_size
1,1529,1529,,1
2,3356,1827,,1
3,4830,1474,,2
4,6826,1996,,2
5,8462,1636,,2
6,10242,1780,,2
7,11861,1619,,3
8,13297,1436,,4
9,14951,1654,,4
10,16637,1686,,4
11,18147,1510,,4
12,19721,1574,,4
13,21527,1806,,4
14,23285,1758,,4
15,25099,1814,,4
16,26641,1542,,4
17,28527,1886,,4
18,30333,1806,,4
19,32011,1678,,4
20,33633,1622,,4
21,35399,1766,,4
22,37165,1766,,4
23,39043,1878,,4
24,40713,1670,,4
25,42575,1862,,4
26,44517,1942,,4
27,46299,1782,,4
28,48193,1894,,4
29,49855,1662,,4
30,51493,1638,,4
31,53251,1758,,4
32,54825,1574,,4
33,56399,1574,,4
34,58301,1902,,4
35,59907,1606,,4
36,61633,1726,,4
37,63255,1622,,4
38,64805,1550,,4
39,66715,1910,,4
40,68192,1477,,5
41,69959,1767,,5
42,71862,1903,,5
43,73621,1759,,5
44,75244,1623,,5
45,77099,1855,,5
46,78682,1583,,5
47,80457,1775,,5
48,82128,1671,,5
49,84031,1903,,5
50,85790,1759,,5
51,87309,1519,,5
52,89004,1695,,5
53,90915,1911,,5
54,92562,1647,,5
55,94225,1663,,5
56,95848,1623,,5
57,97631,1783,,5
58,99206,1575,,5
59,100909,1703,,5
60,102732,1823,,5
61,104467,1735,,5
62,106058,1591,,5
63,107785,1727,,5
64,109616,1831,,5
65,111271,1655,,5
66,113054,1783,,5
67,114821,1767,,5
68,116444,1623,,5
69,118146,1702,,6
70,120058,1912,,6
71,121642,1584,,6
72,123458,1816,,6
73,125162,1704,,6
74,126914,1752,,6
75,128730,1816,,6
76,130498,1768,,6
77,132082,1584,,6
78,133714,1632,,6
79,135410,1696,,6
80,137146,1736,,6
81,138762,1616,,6
82,140482,1720,,6
83,142170,1688,,6
84,143802,1632,,6
85,145458,1656,,6
86,147266,1808,,6
87,148794,1528,,6
88,150586,1792,,6
89,152538,1952,,6
90,154274,1736,,6
91,156146,1872,,6
92,158194,2048,,6
93,160002,1808,,6
94,161690,1688,,6
95,163314,1624,,6
96,165210,1896,,6
97,166746,1536,,6
98,168450,1704,,6
99,170122,1672,,6
100,171610,1488,,6
101,173266,1656,,6
102,175202,1936,,6
103,176978,1776,,6
104,178802,1824,,6
105,180666,1864,,6
106,182266,1600,,6
107,183834,1568,,6
108,185570,1736,,6
109,187186,1616,,6
110,188826,1640,,6
111,190578,1752,,6
112,192178,1600,,6
113,194066,1888,,6
114,195858,1792,,6
115,197474,1616,,6
116,199114,1640,,6
117,200818,1704,,6
118,202538,1720,,6
119,204298,1760,,6
120,205978,1680,,6
121,207554,1576,,6
122,209250,1696,,6
123,210882,1632,,6
124,212754,1872,,6
125,214618,1864,,6
126,216322,1704,,6
127,217890,1568,,6
128,219802,1912,,6
129,221522,1720,,6
130,223170,1648,,6
131,224794,1624,,6
132,226498,1704,,6
133,228162,1664,,6
134,229802,1640,,6
135,231490,1688,,6
136,233338,1848,,6
137,234842,1504,,6
138,236514,1672,,6
139,238226,1712,,6
140,239954,1728,,6
141,241666,1712,,6
142,243498,1832,,6
143,245282,1784,,6
144,247106,1824,,6
145,248930,1824,,6
