restart,evals_cum,evals_this,reason,archive_size
1,1385,1385,,1
2,2787,1402,,2
3,4615,1828,,2
4,6146,1531,,3
5,8063,1917,,3
6,9788,1725,,3
7,11601,1813,,3
8,13494,1893,,3
9,15714,2220,,4
10,17480,1766,,4
11,19094,1614,,4
12,20764,1670,,4
13,22458,1694,,4
14,24624,2166,,4
15,26286,1662,,4
16,28068,1782,,4
17,29866,1798,,4
18,31768,1902,,4
19,33342,1574,,4
20,35068,1726,,4
21,37314,2246,,4
22,39168,1854,,4
23,40982,1814,,4
24,42748,1766,,4
25,44530,1782,,4
26,46376,1846,,4
27,48094,1718,,4
28,49892,1798,,4
29,51418,1526,,4
30,53104,1686,,4
31,54694,1590,,4
32,56460,1766,,4
33,58138,1678,,4
34,59743,1605,,5
35,61574,1831,,5
36,63325,1751,,5
37,65052,1727,,5
38,67003,1951,,5
39,68898,1895,,5
40,70761,1863,,5
41,72456,1695,,5
42,74047,1591,,5
43,75678,1631,,5
44,77517,1839,,5
45,79300,1783,,5
46,81146,1846,,6
47,82945,1799,,7
48,84738,1793,,7
49,86242,1504,,8
50,87996,1754,,8
51,89662,1666,,8
52,91320,1658,,8
53,93082,1762,,8
54,94940,1858,,8
55,96582,1642,,8
56,98176,1594,,8
57,99602,1426,,8
58,101220,1618,,8
59,102870,1650,,8
60,104608,1738,,8
61,106546,1938,,8
62,108236,1690,,8
63,110230,1994,,8
64,111960,1730,,8
65,113690,1730,,8
66,115316,1626,,8
67,117078,1762,,8
68,118992,1914,,8
69,120842,1850,,8
70,122724,1882,,8
71,124462,1738,,8
72,126328,1866,,8
73,128586,2258,,8
74,130268,1682,,8
75,131910,1642,,8
76,133568,1658,,8
77,135474,1906,,8
78,137228,1754,,8
79,139006,1778,,8
80,140848,1842,,8
81,142554,1706,,8
82,144412,1858,,8
83,146494,2082,,8
84,148792,2298,,8
85,150506,1714,,8
86,152396,1890,,8
87,154318,1922,,8
88,156168,1850,,8
89,157842,1674,,8
90,159724,1882,,8
91,161526,1802,,8
92,163920,2394,,8
93,165802,1882,,8
94,167500,1698,,8
95,169270,1770,,8
96,170960,1690,,8
97,172714,1754,,8
98,174396,1682,,8
99,176310,1914,,8
100,178200,1890,,8
101,179874,1674,,8
102,181668,1794,,8
103,183510,1842,,8
104,185120,1610,,8
105,187002,1882,,8
106,188788,1786,,8
107,190574,1786,,8
108,192280,1706,,8
109,194098,1818,,8
110,195852,1754,,8
111,197326,1474,,8
112,199176,1850,,8
113,200714,1538,,8
114,202356,1642,,8
115,204166,1810,,8
116,206120,1954,,8
117,207954,1834,,8
118,209524,1570,,8
119,211238,1714,,8
120,212984,1746,,8
121,214930,1946,,8
122,216660,1730,,8
123,218246,1586,,8
124,219992,1746,,8
125,221922,1930,,8
126,223836,1914,,8
127,225590,1754,,8
128,227408,1818,,8
129,229314,1906,,8
130,231260,1946,,8
131,232646,1386,,8
132,234448,1802,,8
133,236266,1818,,8
134,238156,1890,,8
135,240406,2250,,8
136,242640,2234,,8
137,244962,2322,,8
138,246860,1898,,8
139,248726,1866,,8
