restart,evals_cum,evals_this,reason,archive_size
1,1745,1745,,1
2,3099,1354,,2
3,4678,1579,,3
4,6274,1596,,4
5,7983,1709,,5
6,9509,1526,,6
7,11140,1631,,7
8,13212,2072,,8
9,14701,1489,,9
10,16303,1602,,10
11,17706,1403,,11
12,19399,1693,,11
13,21228,1829,,11
14,22761,1533,,11
15,24718,1957,,11
16,26315,1597,,11
17,27952,1637,,11
18,29869,1917,,11
19,31482,1613,,11
20,33255,1773,,11
21,34988,1733,,11
22,36601,1613,,11
23,38229,1628,,12
24,39979,1750,,12
25,41537,1558,,12
26,42999,1462,,12
27,44877,1878,,12
28,46546,1669,,13
29,48081,1535,,13
30,49712,1631,,13
31,51623,1911,,13
32,53158,1535,,13
33,54725,1567,,13
34,56356,1631,,13
35,57771,1415,,13
36,59442,1671,,13
37,60913,1471,,13
38,62760,1847,,13
39,64479,1719,,13
40,66077,1598,,14
41,67597,1520,,14
42,69213,1616,,14
43,71053,1840,,14
44,72653,1600,,14
45,74573,1920,,14
46,76117,1544,,14
47,77933,1816,,14
48,79469,1536,,14
49,81285,1816,,14
50,82917,1632,,14
51,84453,1536,,14
52,86189,1736,,14
53,87860,1671,,15
54,89501,1641,,15
55,91070,1569,,15
56,92455,1385,,15
57,94376,1921,,15
58,95937,1561,,15
59,97530,1593,,15
60,99371,1841,,15
61,100892,1521,,15
62,102373,1481,,15
63,104070,1697,,15
64,105607,1537,,15
65,107232,1625,,15
66,108841,1609,,15
67,110514,1673,,15
68,112331,1817,,15
69,114156,1825,,15
70,115749,1593,,15
71,117494,1745,,15
72,118951,1457,,15
73,120672,1721,,15
74,122209,1537,,15
75,123762,1553,,15
76,125475,1713,,15
77,127404,1929,,15
78,128829,1425,,15
79,130806,1977,,15
80,132367,1561,,15
81,133976,1609,,15
82,135569,1593,,15
83,137018,1449,,15
84,138859,1841,,15
85,140516,1657,,15
86,142093,1577,,15
87,143942,1849,,15
88,145583,1641,,15
89,147112,1529,,15
90,148801,1689,,15
91,150458,1657,,15
92,152154,1696,,16
93,153756,1602,,16
94,155190,1434,,16
95,156784,1594,,16
96,158322,1538,,16
97,159988,1666,,16
98,161518,1530,,16
99,163296,1778,,16
100,164754,1458,,16
101,166500,1746,,16
102,168062,1562,,16
103,169672,1610,,16
104,171386,1714,,16
105,173052,1666,,16
106,174798,1746,,16
107,176592,1794,,16
108,178122,1530,,16
109,179932,1810,,16
110,181566,1634,,16
111,183456,1890,,16
112,184970,1514,,16
113,186460,1490,,16
114,188206,1746,,16
115,189712,1506,,16
116,191154,1442,,16
117,192628,1474,,16
118,194238,1610,,16
119,195888,1650,,16
120,197650,1762,,16
121,199252,1602,,16
122,200902,1650,,16
123,202632,1730,,16
124,204146,1514,,16
125,205756,1610,,16
126,207670,1914,,16
127,209472,1802,,16
128,211082,1610,,16
129,212564,1482,,16
130,214182,1618,,16
131,215816,1634,,16
132,217514,1698,,16
133,219380,1866,,16
134,221102,1722,,16
135,222728,1626,,16
136,224290,1562,,16
137,225964,1674,,16
138,227598,1634,,16
139,229208,1610,,16
140,230802,1594,,16
141,232644,1842,,16
142,234534,1890,,16
143,236456,1922,,16
144,238234,1778,,16
145,239772,1538,,16
146,241478,1706,,16
147,242928,1450,,16
148,244634,1706,,16
149,246276,1642,,16
150,247670,1394,,16
151,249176,1506,,16
