restart,evals_cum,evals_this,reason,archive_size
1,5201,5201,,1
2,8235,3034,,2
3,13902,5667,,3
4,15674,1772,,4
5,17143,1469,,5
6,19246,2103,,5
7,21053,1807,,5
8,23451,2398,,6
9,25243,1792,,6
10,27091,1848,,6
11,28546,1455,,7
12,31491,2945,,7
13,36236,4745,,7
14,37789,1553,,7
15,39478,1689,,7
16,42569,3091,,8
17,45851,3282,,9
18,47366,1515,,9
19,51880,4514,,10
20,55675,3795,,11
21,57440,1765,,11
22,59325,1885,,11
23,63697,4372,,12
24,66822,3125,,13
25,70007,3185,,14
26,71775,1768,,14
27,78869,7094,,15
28,80622,1753,,15
29,83713,3091,,15
30,85490,1777,,15
31,87339,1849,,15
32,89476,2137,,15
33,91053,1577,,15
34,93998,2945,,15
35,95903,1905,,15
36,97720,1817,,15
37,99369,1649,,15
38,101002,1633,,15
39,106578,5576,,16
40,108476,1898,,16
41,110062,1586,,16
42,111816,1754,,16
43,114861,3045,,16
44,116623,1762,,16
45,118553,1930,,16
46,122624,4071,,16
47,129074,6450,,17
48,131133,2059,,17
49,135801,4668,,17
50,137732,1931,,17
51,140865,3133,,17
52,142732,1867,,17
53,144503,1771,,17
54,147820,3317,,17
55,149599,1779,,17
56,156838,7239,,17
57,159801,2963,,17
58,161356,1555,,17
59,163167,1811,,17
60,167436,4269,,17
61,169199,1763,,17
62,171290,2091,,17
63,173197,1907,,17
64,175392,2195,,17
65,177211,1819,,17
66,178926,1715,,17
67,181209,2283,,17
68,183108,1899,,17
69,185023,1915,,17
70,188468,3445,,17
71,191339,2871,,18
72,195151,3812,,18
73,199515,4364,,18
74,201703,2188,,18
75,209549,7846,,18
76,211417,1868,,18
77,213125,1708,,18
78,217776,4651,,18
79,220292,2516,,18
80,222376,2084,,18
81,225220,2844,,18
82,227925,2705,,18
83,229713,1788,,18
84,231709,1996,,18
85,235338,3629,,18
86,236974,1636,,18
87,241134,4160,,19
88,243027,1893,,19
89,244832,1805,,19
90,246925,2093,,19
91,248722,1797,,19
