function,seed,div_ev,bank_ev,base_best_f,var_best_f,base_succ_ev,var_succ_ev,n_fire,same
F01-Sphere,0,2975,1619,0.0,0.0,1363,1363,532,True
F01-Sphere,1,2160,907,0.0,0.0,717,717,523,True
F01-Sphere,2,2265,836,0.0,0.0,596,596,551,True
F01-Sphere,3,2885,1641,0.0,0.0,656,656,537,True
F01-Sphere,4,2615,1368,0.0,0.0,616,616,542,True
F01-Sphere,5,2215,976,0.0,0.0,737,737,545,True
F01-Sphere,6,2110,886,0.0,0.0,681,681,555,True
F01-Sphere,7,2140,816,0.0,0.0,667,667,515,True
F01-Sphere,8,2190,966,0.0,0.0,652,652,532,True
F01-Sphere,9,2410,1189,0.0,0.0,566,566,492,True
F01-Sphere,10,2195,929,0.0,0.0,706,706,556,True
F01-Sphere,11,2195,897,0.0,0.0,651,651,545,True
F01-Sphere,12,2170,906,0.0,0.0,616,616,526,True
F01-Sphere,13,2145,922,0.0,0.0,567,567,561,True
F01-Sphere,14,2315,1012,0.0,0.0,642,642,586,True
F01-Sphere,15,2165,893,0.0,0.0,536,536,553,True
F01-Sphere,16,2245,971,0.0,0.0,672,672,586,True
F01-Sphere,17,2250,1006,0.0,0.0,652,652,527,True
F01-Sphere,18,2185,812,0.0,0.0,572,572,579,True
F01-Sphere,19,2265,1041,0.0,0.0,651,651,534,True
F05-LinearSlope,0,1495,222,0.0,0.0,222,222,497,True
F05-LinearSlope,1,1375,151,0.0,0.0,151,151,498,True
F05-LinearSlope,2,1630,407,0.0,0.0,407,407,527,True
F05-LinearSlope,3,1620,396,0.0,0.0,396,396,525,True
F05-LinearSlope,4,1970,746,0.0,0.0,746,746,528,True
F05-LinearSlope,5,1565,341,0.0,0.0,341,341,463,True
F05-LinearSlope,6,1520,296,0.0,0.0,296,296,542,True
F05-LinearSlope,7,1645,421,0.0,0.0,421,421,519,True
F05-LinearSlope,8,1565,342,0.0,0.0,342,342,542,True
F05-LinearSlope,9,1555,332,0.0,0.0,332,332,525,True
F05-LinearSlope,10,1690,466,0.0,0.0,466,466,514,True
F05-LinearSlope,11,1845,620,0.0,0.0,620,620,515,True
F05-LinearSlope,12,1520,297,0.0,0.0,297,297,577,True
F05-LinearSlope,13,1640,415,0.0,0.0,415,415,529,True
F05-LinearSlope,14,1560,336,0.0,0.0,336,336,532,True
F05-LinearSlope,15,1565,331,0.0,0.0,331,331,501,True
F05-LinearSlope,16,1860,638,0.0,0.0,638,638,632,True
F05-LinearSlope,17,1445,220,0.0,0.0,220,220,491,True
F05-LinearSlope,18,2215,990,0.0,0.0,990,990,541,True
F05-LinearSlope,19,1495,272,0.0,0.0,272,272,572,True
F09-RosenbrockRot,0,2630,1353,0.0,0.0,1092,1092,589,True
F09-RosenbrockRot,1,2645,1283,0.0,0.0,768,768,673,True
F09-RosenbrockRot,2,2425,1194,0.0,0.0,732,732,619,True
F09-RosenbrockRot,3,2570,1289,0.0,0.0,878,878,541,True
F09-RosenbrockRot,4,2665,1348,0.0,0.0,954,954,640,True
F09-RosenbrockRot,5,2460,1126,0.0,0.0,747,747,631,True
F09-RosenbrockRot,6,2470,1244,0.0,0.0,934,934,744,True
F09-RosenbrockRot,7,2485,1242,0.0,0.0,807,807,679,True
F09-RosenbrockRot,8,2970,1328,0.0,0.0,802,802,629,True
F09-RosenbrockRot,9,2595,1199,0.0,0.0,803,803,616,True
F09-RosenbrockRot,10,2545,1201,0.0,0.0,812,812,630,True
F09-RosenbrockRot,11,2545,1193,0.0,0.0,712,712,620,True
F09-RosenbrockRot,12,2920,1591,0.0,0.0,1192,1192,625,True
F09-RosenbrockRot,13,2450,1158,0.0,0.0,837,837,706,True
F09-RosenbrockRot,14,2570,1203,0.0,0.0,923,923,717,True
F09-RosenbrockRot,15,2705,1319,0.0,0.0,893,893,580,True
F09-RosenbrockRot,16,2745,1398,0.0,0.0,902,902,571,True
F09-RosenbrockRot,17,2405,1092,0.0,0.0,821,821,586,True
F09-RosenbrockRot,18,2695,1302,0.0,0.0,952,952,569,True
F09-RosenbrockRot,19,2845,1434,0.0,0.0,1072,1072,728,True
F13-SharpRidge,0,5380,3739,0.0,0.0,1839,1839,317,True
F13-SharpRidge,1,4590,3099,0.0,0.0,1309,1309,313,True
F13-SharpRidge,2,4940,3373,0.0,0.0,1798,1798,274,True
F13-SharpRidge,3,4770,3278,0.0,0.0,1568,1568,317,True
F13-SharpRidge,4,5215,3703,0.0,0.0,1973,1973,307,True
F13-SharpRidge,5,5000,3493,0.0,0.0,1723,1723,285,True
F13-SharpRidge,6,5240,3724,0.0,0.0,1594,1594,299,True
F13-SharpRidge,7,4715,3309,0.0,0.0,1758,1758,304,True
F13-SharpRidge,8,4915,3339,0.0,0.0,1948,1948,323,True
F13-SharpRidge,9,4825,3294,0.0,0.0,1644,1644,328,True
F13-SharpRidge,10,5460,3963,0.0,0.0,1708,1708,280,True
F13-SharpRidge,11,4670,3279,0.0,0.0,1928,1928,295,True
F13-SharpRidge,12,5075,3524,0.0,0.0,1819,1819,276,True
F13-SharpRidge,13,4485,3094,0.0,0.0,1989,1989,289,True
F13-SharpRidge,14,4890,3248,0.0,0.0,1849,1849,351,True
F13-SharpRidge,15,5120,3528,0.0,0.0,1838,1838,287,True
F13-SharpRidge,16,4615,3024,0.0,0.0,1533,1533,315,True
F13-SharpRidge,17,4745,3189,0.0,0.0,1558,1558,282,True
F13-SharpRidge,18,4765,3353,0.0,0.0,1968,1968,310,True
F13-SharpRidge,19,4915,3364,0.0,0.0,2019,2019,297,True
F17-SchafferF7,0,3990,2348,3.552713678800501e-15,3.552713678800501e-15,1674,1674,434,True
F17-SchafferF7,1,-1,990,2.8777666198465113e-05,2.8777666198465113e-05,-1,-1,0,True
F17-SchafferF7,2,10924,9282,3.552713678800501e-15,3.552713678800501e-15,8527,8527,253,True
F17-SchafferF7,3,4135,2494,3.552713678800501e-15,3.552713678800501e-15,1848,1848,436,True
F17-SchafferF7,4,-1,1143,2.8777732861584582e-05,2.8777732861584582e-05,-1,-1,0,True
F17-SchafferF7,5,3735,2963,4.92034146759579e-09,3.552713678800501e-15,-1,4463,395,False
F17-SchafferF7,6,4000,2359,3.552713678800501e-15,3.552713678800501e-15,1629,1629,467,True
F17-SchafferF7,7,4020,2378,3.552713678800501e-15,3.552713678800501e-15,1699,1699,467,True
F17-SchafferF7,8,4125,2484,1.2434497875801753e-13,3.552713678800501e-15,1764,1764,429,False
F17-SchafferF7,9,7181,5900,1.6981971384666394e-12,3.552713678800501e-15,4790,4790,356,False
F17-SchafferF7,10,3400,2234,7.765876830490015e-11,3.552713678800501e-15,1644,1644,463,False
F17-SchafferF7,11,8023,6847,1.1219469797651982e-11,3.552713678800501e-15,5761,5761,327,False
F17-SchafferF7,12,3750,2569,4.391154106997419e-12,3.552713678800501e-15,1633,1633,428,False
F17-SchafferF7,13,3690,2928,2.902424967032857e-10,3.552713678800501e-15,-1,4524,440,False
F17-SchafferF7,14,3775,3013,9.312373094871873e-11,3.552713678800501e-15,2119,2119,406,False
F17-SchafferF7,15,3785,2203,3.552713678800501e-15,3.552713678800501e-15,1503,1503,428,True
