function,dim,evals,seed,exhausted,f_at_exh,best_f,post_gain,n_level_release,div_t07,div_t08
F17-SchafferF7,2,20000,0,True,3.552713678800501e-15,3.552713678800501e-15,0.0,0,0,0
F17-SchafferF7,2,20000,1,False,,2.8777666198465113e-05,nan,0,0,0
F17-SchafferF7,2,20000,2,True,3.552713678800501e-15,3.552713678800501e-15,0.0,0,0,0
F17-SchafferF7,2,20000,3,True,3.552713678800501e-15,3.552713678800501e-15,0.0,66,66,66
F17-SchafferF7,2,20000,4,False,,2.8777732861584582e-05,nan,0,0,0
F17-SchafferF7,2,20000,5,True,4.92034146759579e-09,4.92034146759579e-09,0.0,44,44,44
F17-SchafferF7,2,20000,6,True,3.552713678800501e-15,3.552713678800501e-15,0.0,0,0,0
F17-SchafferF7,2,20000,7,True,3.552713678800501e-15,3.552713678800501e-15,0.0,66,66,66
F17-SchafferF7,2,20000,8,True,1.2434497875801753e-13,1.2434497875801753e-13,0.0,66,66,66
F17-SchafferF7,2,20000,9,True,1.6981971384666394e-12,1.6981971384666394e-12,0.0,88,88,88
F18-SchafferF7ill,2,20000,0,True,3.552713678800501e-15,3.552713678800501e-15,0.0,0,0,0
F18-SchafferF7ill,2,20000,1,True,3.552713678800501e-15,3.552713678800501e-15,0.0,0,0,0
F18-SchafferF7ill,2,20000,2,True,3.552713678800501e-15,3.552713678800501e-15,0.0,0,0,0
F18-SchafferF7ill,2,20000,3,True,3.552713678800501e-15,3.552713678800501e-15,0.0,0,0,0
F18-SchafferF7ill,2,20000,4,True,3.552713678800501e-15,3.552713678800501e-15,0.0,22,22,22
F18-SchafferF7ill,2,20000,5,True,3.552713678800501e-15,3.552713678800501e-15,0.0,0,0,0
F18-SchafferF7ill,2,20000,6,True,3.552713678800501e-15,3.552713678800501e-15,0.0,44,44,44
F18-SchafferF7ill,2,20000,7,True,8.419931418757187e-13,8.419931418757187e-13,0.0,0,0,0
F18-SchafferF7ill,2,20000,8,True,9.308109838457312e-13,9.308109838457312e-13,0.0,374,374,374
F18-SchafferF7ill,2,20000,9,True,3.552713678800501e-15,3.552713678800501e-15,0.0,440,440,440
F20-Schwefel,2,20000,0,True,0.0,0.0,0.0,396,352,396
F20-Schwefel,2,20000,1,True,0.0,0.0,0.0,330,308,330
F20-Schwefel,2,20000,2,True,0.0,0.0,0.0,220,198,220
F20-Schwefel,2,20000,3,True,0.0,0.0,0.0,374,352,374
F20-Schwefel,2,20000,4,True,0.0,0.0,0.0,286,264,286
F20-Schwefel,2,20000,5,True,0.0,0.0,0.0,198,132,198
F20-Schwefel,2,20000,6,True,0.0,0.0,0.0,198,198,198
F20-Schwefel,2,20000,7,True,0.0,0.0,0.0,110,110,110
F20-Schwefel,2,20000,8,True,0.0,0.0,0.0,198,198,198
F20-Schwefel,2,20000,9,True,0.0,0.0,0.0,198,198,198
F23-Katsuura,2,20000,0,True,0.0,0.0,0.0,0,0,0
F23-Katsuura,2,20000,1,False,,3.3378377484183375e-07,nan,0,0,0
F23-Katsuura,2,20000,2,True,0.0,0.0,0.0,0,0,0
F23-Katsuura,2,20000,3,False,,1.6786064982454718e-07,nan,0,0,0
F23-Katsuura,2,20000,4,True,0.0,0.0,0.0,0,0,0
F23-Katsuura,2,20000,5,False,,3.763925878530472e-06,nan,0,0,0
F23-Katsuura,2,20000,6,True,6.181721801112872e-13,6.181721801112872e-13,0.0,0,0,0
F23-Katsuura,2,20000,7,True,0.0,0.0,0.0,0,0,0
F23-Katsuura,2,20000,8,True,0.0,0.0,0.0,0,0,0
F23-Katsuura,2,20000,9,True,1.2372325386422744e-12,1.2372325386422744e-12,0.0,0,0,0
F24-LunacekRastrigin,2,20000,0,False,,0.4463877276246251,nan,0,0,0
F24-LunacekRastrigin,2,20000,1,True,0.0,0.0,0.0,22,22,22
F24-LunacekRastrigin,2,20000,2,False,,0.023226287087211972,nan,0,0,0
F24-LunacekRastrigin,2,20000,3,False,,0.09293289159823814,nan,0,0,0
F24-LunacekRastrigin,2,20000,4,True,0.0,0.0,0.0,0,0,0
F24-LunacekRastrigin,2,20000,5,False,,7.23332505003782e-12,nan,0,0,0
F24-LunacekRastrigin,2,20000,6,True,0.0,0.0,0.0,0,0,0
F24-LunacekRastrigin,2,20000,7,True,0.0,0.0,0.0,0,0,0
F24-LunacekRastrigin,2,20000,8,False,,0.023226285763982446,nan,0,0,0
F24-LunacekRastrigin,2,20000,9,True,0.0,0.0,0.0,0,0,0
